ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"43.250.81.154","elite","AS58689","BD","ICC Communication","184","N/A","34432","socks4","4793","1","2023-09-12T11:24:12.537Z","74","2875","3885"
"8.210.206.32","elite","AS45102","HK","Alibaba (US) Technology Co., Ltd.","292","Alibaba.com Singapore E-Commerce Private Limited","47161","socks5","4701","1","2023-09-12T11:24:10.840Z","99","3856","3883"
"66.207.184.73","elite","AS7029","US","Windstream Communications LLC","81","Voce Telecom, LLC","5432","socks4","4283","1","2023-09-12T11:24:10.837Z","98","3653","3732"
"142.93.52.63","elite","AS14061","US","DigitalOcean, LLC","86","DigitalOcean, LLC","8080","socks4","4504","1","2023-09-12T11:24:09.046Z","99","3714","3758"
"194.87.59.99","elite","AS208685","NL","Serverius Holding B.V.","79","VictoryWillbeours","80","socks4","1192","1","2023-09-12T11:24:08.942Z","100","3788","3788"
"114.99.224.228","elite","AS4134","CN","Chinanet","194","Chinanet AH","2829","socks5","4803","1","2023-09-12T11:24:08.941Z","21","802","3843"
"209.97.160.204","elite","AS14061","SG","DigitalOcean, LLC","188","DigitalOcean, LLC","3103","socks5","4809","1","2023-09-12T11:24:08.945Z","100","3880","3887"
"114.235.230.149","elite","AS4134","CN","Chinanet","198","Chinanet JS","44844","socks5","5095","1","2023-09-12T11:24:08.933Z","58","2236","3887"
"110.78.149.221","elite","AS131090","TH","CAT-BB","189","N/A","4145","socks4","4991","1","2023-09-12T11:24:08.943Z","78","2997","3844"
"8.218.205.195","elite","AS45102","HK","Alibaba (US) Technology Co., Ltd.","291","Alibaba.com Singapore E-Commerce Private Limited","5555","socks5","4607","1","2023-09-12T11:24:08.940Z","52","1974","3823"
"193.233.148.216","elite","AS205628","RU","OOO MIG-Service Centre","56","MIG-Service Centre Ltd","5678","socks4","4808","1","2023-09-12T11:24:08.939Z","98","3792","3854"
"170.245.109.91","elite","AS263152","BR","Migo Telecom","298","Migo Telecom","80","socks5","4807","1","2023-09-12T11:24:08.938Z","47","1785","3828"
"177.38.5.132","elite","AS52964","BR","FÁBIO MENDES DIAS LTDA ME","225","FÁBIO MENDES DIAS LTDA ME","4145","socks4","5003","1","2023-09-12T11:24:08.846Z","82","3081","3762"
"128.14.226.130","elite","AS135377","TW","Zenlayer Inc","295","UCLOUD","60080","socks4","4992","82","2023-09-12T11:24:06.441Z","100","3816","3820"
"5.189.146.59","elite","AS51167","DE","Contabo GmbH","101","Contabo GmbH","55808","socks5","5099","1","2023-09-12T11:24:06.435Z","98","3772","3831"
"104.18.251.208","elite","AS13335","CA","Cloudflare, Inc.","2","Cloudflare, Inc.","80","socks5","5298","1","2023-09-12T11:24:06.641Z","100","3772","3773"
"45.4.85.150","elite","AS262234","HN","Asociacion De Servicio De Internet S. De RL","198","CIBERNET S. de RL de CV","5678","socks4","4897","1","2023-09-12T11:24:06.439Z","100","3831","3839"
"183.89.50.62","elite","AS45629","TH","Triple T Broadband Public Company Limited","183","Triple T Broadband Public Company Limited","4145","socks4","2495","1","2023-09-12T11:24:06.440Z","98","3730","3813"
"103.95.197.233","elite","AS135918","VN","Viet Digital Technology Liability Company","221","DVS","9050","socks5","4900","1","2023-09-12T11:24:06.434Z","97","3708","3809"
"92.38.45.72","elite","AS61979","RU","Stolica Svyazi Ltd.","79","Stolica Svyazi Ltd","3629","socks4","4390","1","2023-09-12T11:24:06.643Z","93","3536","3792"
"111.53.178.249","elite","AS56042","CN","China Mobile communications corporation","387","China Mobile","7302","socks5","5094","1","2023-09-12T11:24:06.437Z","82","3121","3786"
"168.205.218.90","elite","AS264869","BR","SPEED MAX TELECOMUNICAÇÕES LTDA ME","291","SPEED MAX TELECOMUNICAÇÕES LTDA ME","4145","socks4","3407","1","2023-09-12T11:24:06.642Z","78","3036","3882"
"155.138.238.14","elite","AS20473","US","The Constant Company","183","Vultr Holdings, LLC","808","socks5","4697","1","2023-09-12T11:24:05.036Z","100","3848","3854"
"45.196.151.134","elite","AS7018","US","AT&T Services, Inc.","96","AQUA Networks Limited","5432","socks4","2402","1","2023-09-12T11:24:05.035Z","98","3764","3852"
"195.231.72.145","elite","AS202242","IT","Aruba S.p.A.","23","Aruba S.p.A. - Cloud Services","1080","socks4","5000","1","2023-09-12T11:24:05.034Z","99","3831","3873"
"197.234.13.75","elite","AS36902","SC","Intelvision","168","Intelvision Ltd","4145","socks4","4299","1","2023-09-12T11:24:04.949Z","100","3766","3776"
"45.7.177.250","elite","AS266626","BR","Litoral Telecom","192","Litoral Telecom","39867","socks4","4097","1","2023-09-12T11:24:03.151Z","99","3828","3871"
"5.8.64.55","elite","AS44812","RU","IP SERVER LLC","49","Worldbyte","8080","socks5","2704","1","2023-09-12T11:24:03.435Z","96","3609","3753"
"197.234.13.90","elite","AS36902","SC","Intelvision","185","Intelvision Ltd","4145","socks4","5100","1","2023-09-12T11:24:03.150Z","100","3850","3864"
"41.73.253.234","elite","AS16284","NG","VBN","196","N/A","4145","socks4","3309","1","2023-09-12T11:24:03.148Z","59","2300","3876"
"125.164.149.210","elite","AS7713","ID","PT. TELKOM INDONESIA","185","N/A","5678","socks4","3894","1","2023-09-12T11:24:01.937Z","84","3246","3869"
"185.32.4.98","elite","AS60645","PL","AS Consulting Sp. z o. o.","97","Core Network Fiber","4153","socks4","5190","1","2023-09-12T11:24:01.934Z","100","3794","3806"
"185.132.126.37","elite","AS212369","TR","ibrahim tufek","87","ibrahim tufek","3128","socks5","4495","1","2023-09-12T11:24:01.945Z","94","3630","3845"
